,movies,year,rating,genre,votes,gross
0,The Shawshank Redemption,1994,9.3,Drama,2225784,28.34
1,The Godfather,1972,9.2,Crime,1533950,134.97
2,The Dark Knight,2008,9.0,Action,2199614,534.86
3,The Godfather: Part II,1974,9.0,Crime,1073641,57.30
4,The Lord of the Rings: The Return of the King,2003,8.9,Adventure,1576679,377.85
5,Pulp Fiction,1994,8.9,Crime,1745824,107.93
6,Schindler's List,1993,8.9,Biography,1158941,96.90
7,12 Angry Men,1957,8.9,Drama,650612,4.36
8,Inception,2010,8.8,Action,1951595,292.58
9,Fight Club,1999,8.8,Drama,1773675,37.03
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Action,1589468,315.54
11,Forrest Gump,1994,8.8,Drama,1716926,330.25
12,"Il buono, il brutto, il cattivo",1966,8.8,Western,658374,6.10
13,The Lord of the Rings: The Two Towers,2002,8.7,Adventure,1424056,342.55
14,The Matrix,1999,8.7,Action,1598982,171.48
15,Goodfellas,1990,8.7,Biography,968701,46.84
16,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Action,1112450,290.48
17,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,874988,112.00
18,Seppuku,1962,8.7,Action,32845,NA
19,Gisaengchung,2019,8.6,Comedy,378404,53.37
20,Interstellar,2014,8.6,Adventure,1402587,188.02
21,Cidade de Deus,2002,8.6,Crime,674779,7.56
22,Sen to Chihiro no kamikakushi,2001,8.6,Animation,605056,10.06
23,Saving Private Ryan,1998,8.6,Drama,1178778,216.54
24,The Green Mile,1999,8.6,Crime,1086003,136.80
25,La vita è bella,1997,8.6,Comedy,591547,57.60
26,Se7en,1995,8.6,Crime,1370594,100.13
27,The Silence of the Lambs,1991,8.6,Crime,1206397,130.74
28,Star Wars,1977,8.6,Action,1184425,322.74
29,Shichinin no samurai,1954,8.6,Action,300896,0.27
30,It's a Wonderful Life,1946,8.6,Drama,380750,NA
31,Joker,2019,8.5,Crime,763423,335.45
32,Ayla: The Daughter of War,2017,8.5,Biography,30567,NA
33,Avengers: Infinity War,2018,8.5,Action,765913,678.82
